# STEREO Data for run titled "SNR0.6"
#
# Total Number of Trials: 8794.0
# Solved Trials: 1008.0, 16.909914443885253% (of attempted solves), 11.462360700477598% (total)
# Solver Fails: 4887.0, 81.98288877705083% (of attempted solves), 55.5719808960655% (total)
# Timeout Fails: 66.0, 1.1071967790639154% (of attempted solves), 0.7505117125312714% (total)
# Low Star Counts (<4): 2833.0, 32.21514669092563%
# Total Data Collection Time: 0.7213145587077856 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
197     1     -0.000909564359041326     28116     9     262.2027736631895     -45.62728620792686     262.20218545070065     -45.62815830558668     120.03140500746667     0.6      0
198     0     -999     30797     4     342.202659099819     -45.15512907363114     -999     -999     0.04500197246670723     0.6      0
199     1     -0.0008829700462698042     15734     5     82.62649831441382     -46.26479002476429     82.62571525599736     -46.26580158618401     331.2869709916413     0.6      0
200     0     -999     25233     5     350.49958568744745     -49.70052440131625     -999     -999     174.8032490722835     0.6      0
201     0     -999     7359     7     83.20327281826393     -35.97803482329015     -999     -999     0.022857915610074997     0.6      0
202     0     -999     22493     4     167.48979340527907     -48.37283247581163     -999     -999     0.01725996844470501     0.6      0
203     0     -999     27254     9     287.9165672281252     -41.43616285885227     -999     -999     0.023483997210860252     0.6      0
204     0     -999     9921     5     278.2529246685598     -34.05569136639917     -999     -999     0.019795959815382957     0.6      0
205     0     -999     27058     4     293.00023361494306     -41.100157994940865     -999     -999     0.015555880963802338     0.6      0
206     -1     -999     3235     1     329.03281730461663     -53.06680519404217     -999     -999     -999     0.6      0
207     0     -999     28689     6     279.3619039969727     -41.179175736862355     -999     -999     684.750281041488     0.6      0
208     1     -0.000995339244234117     36473     8     199.55093672115646     -42.708948840321746     199.54978255218126     -42.70992762093255     52.48999805189669     0.6      0
209     0     -999     10005     4     305.8336187892531     -34.27136790341498     -999     -999     0.030455179512500763     0.6      0
210     -1     -999     34620     2     317.2225159352474     -45.70522528731106     -999     -999     -999     0.6      0
211     -1     -999     31962     0     76.5958413835701     -45.01734250393543     -999     -999     -999     0.6      0
212     1     0.00010643609287797062     2806     9     92.75284080713485     -36.09268455736228     92.75232710443339     -36.09257614850621     102.86182491108775     0.6      0
213     0     -999     21658     6     87.56889561787852     -37.051521024883414     -999     -999     0.042215920984745026     0.6      0
214     -1     -999     16558     1     359.901900810383     -36.419930699723054     -999     -999     -999     0.6      0
215     0     -999     36072     4     87.80470240309702     -43.1205474124808     -999     -999     0.019286060705780983     0.6      0
216     0     -999     18214     4     98.8181306929761     -42.735126958057315     -999     -999     0.020312145352363586     0.6      0
217     -1     -999     5687     2     23.064192003810966     -34.682742734497836     -999     -999     -999     0.6      0
218     -1     -999     2543     2     299.0763924655838     -46.34525283038025     -999     -999     -999     0.6      0
219     0     -999     3094     7     323.5209074832021     -54.01242727282832     -999     -999     100.2897818107158     0.6      0
220     0     -999     20994     6     180.31279096990545     -51.07272089780406     -999     -999     0.018852995708584785     0.6      0
221     -1     -999     24816     3     81.7601230422076     -40.79981905418147     -999     -999     -999     0.6      0
222     -1     -999     4845     2     337.61239659214567     -55.32777770509591     -999     -999     -999     0.6      0
223     -1     -999     2031     1     52.68422448018588     -51.844520203168294     -999     -999     -999     0.6      0
224     0     -999     29094     5     39.6462305615236     -41.42978133969276     -999     -999     0.017283950001001358     0.6      0
225     1     -0.00015445404470426638     24864     7     94.28073722939263     -40.61022763988204     94.28062513649719     -40.61038701931313     321.9189050141722     0.6      0
226     0     -999     10242     7     225.74101322038985     -50.50506495448492     -999     -999     0.02401508390903473     0.6      0
227     -1     -999     27124     3     313.7397766795609     -41.11202053931838     -999     -999     -999     0.6      0
228     0     -999     27473     10     89.54652909423592     -44.46019576550189     -999     -999     0.014202902093529701     0.6      0
