# STEREO Data for run titled "SNR1"
#
# Total Number of Trials: 3304.0
# Solved Trials: 1008.0, 46.25975217989904% (of attempted solves), 30.508474576271187% (total)
# Solver Fails: 1150.0, 52.77650298301973% (of attempted solves), 34.80629539951574% (total)
# Timeout Fails: 21.0, 0.9637448370812299% (of attempted solves), 0.635593220338983% (total)
# Low Star Counts (<4): 1125.0, 34.049636803874094%
# Total Data Collection Time: 0.2884247080047175 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
144     0     -999     14534     9     254.7688654025169     -37.91004734387538     -999     -999     0.02725282683968544     1.0      0
145     1     -0.000843146562822028     1638     5     186.2210336544736     -35.19869436427658     186.2204242291508     -35.19955417027765     88.80840404890478     1.0      0
146     1     -0.001609521018863802     32983     7     349.2477466336325     -42.51876688904452     349.2470703974542     -42.52041670426525     49.65335410088301     1.0      0
147     0     -999     30616     4     22.947745133854664     -49.64984080569449     -999     -999     0.023499131202697754     1.0      0
148     -1     -999     17038     1     44.49369951630196     -43.0593260258351     -999     -999     -999     1.0      0
149     -1     -999     20044     3     19.2058473822826     -42.54729119922973     -999     -999     -999     1.0      0
150     0     -999     25505     5     154.08550652265546     -46.78023963904936     -999     -999     0.030234921723604202     1.0      0
151     -1     -999     36662     3     178.25685810699585     -42.63800252772434     -999     -999     -999     1.0      0
152     1     -0.0013163894354946137     17227     5     65.89087338759676     -46.225736344153646     65.89122321889049     -46.22703205648422     247.64083186164498     1.0      0
153     0     -999     30686     4     334.3999765507414     -46.63308470802884     -999     -999     0.024393899366259575     1.0      0
154     0     -999     27930     4     181.2106020953071     -43.09662031533818     -999     -999     28.22480583563447     1.0      0
155     0     -999     23525     5     234.1044752233529     -42.86009345379888     -999     -999     0.013384036719799042     1.0      0
156     1     -0.0011752834753764319     25869     13     227.9742011131448     -47.00454742040444     227.969361558405     -47.00604503879292     363.31735202111304     1.0      0
157     0     -999     18792     4     266.7149033151213     -47.88592363689704     -999     -999     0.02109701745212078     1.0      0
158     1     -0.0007822202889187224     1224     11     155.9467168010192     -43.56203298455073     155.94603809303663     -43.56271829034104     101.64431016892195     1.0      0
159     0     -999     3025     5     27.13895331713408     -48.85508149679799     -999     -999     268.84465594775975     1.0      0
160     0     -999     18637     7     266.67190895986136     -51.78424327598928     -999     -999     0.02408609725534916     1.0      0
161     1     -0.001695160095096071     14942     6     319.73397511646766     -39.3225294005338     319.73576738138604     -39.324070765830875     59.79742994531989     1.0      0
162     1     -0.00029596406796628116     33211     6     236.96507580286615     -47.788489764530866     236.96382063892838     -47.78873516980601     34.11821788176894     1.0      0
163     -1     -999     16702     1     1.6735608937314093     -38.564345653610005     -999     -999     -999     1.0      0
164     1     -0.00038679673879471466     36904     7     246.2204406405387     -43.30498922178808     246.21993735301658     -43.305377354105474     244.8991488199681     1.0      0
165     1     -0.0005828052579985865     34162     7     282.83149461976984     -42.25149861422545     282.83127063323445     -42.2520919639793     49.49910915456712     1.0      0
166     1     -0.0008122659339306892     23587     14     250.9501156605913     -43.45349971980898     250.94952452727904     -43.45425892260782     8.085574954748154     1.0      0
167     1     -0.00018975448335112333     25721     8     131.49352342063077     -49.6508436400708     131.4926170743309     -49.651034433854115     111.35450983420014     1.0      0
168     1     -0.0009858769733668282     14425     10     279.0051076008075     -39.16841664596565     279.00489258250644     -39.16939058166513     93.92153401859105     1.0      0
169     0     -999     15049     8     261.5009344434456     -49.34599914612268     -999     -999     96.81776212528348     1.0      0
170     -1     -999     36790     3     64.47366039445534     -47.062133591910516     -999     -999     -999     1.0      0
171     -1     -999     7819     0     359.3246744618697     -57.370560141724326     -999     -999     -999     1.0      0
172     0     -999     17551     9     94.8843519660129     -51.50586985665942     -999     -999     0.019216211512684822     1.0      0
173     0     -999     11393     4     212.3243392516843     -38.807399860348376     -999     -999     0.02432195469737053     1.0      0
174     1     -3.328959127912867e-05     12772     9     348.0659140059124     -50.98556263394957     348.0658593207928     -50.98559013808323     15.62767499126494     1.0      0
